pageid,title,lastrevid,talkid,city,state,score_pred
104730,"Abbeville, Alabama",1171163550,281244.0,Abbeville,Alabama,C
104761,"Adamsville, Alabama",1177621427,281272.0,Adamsville,Alabama,C
105188,"Addison, Alabama",1168359898,281517.0,Addison,Alabama,C
104726,"Akron, Alabama",1165909508,281240.0,Akron,Alabama,GA
105109,"Alabaster, Alabama",1179139816,281444.0,Alabaster,Alabama,C
104899,"Albertville, Alabama",1179198677,281390.0,Albertville,Alabama,C
105153,"Alexander City, Alabama",1179140073,281484.0,Alexander City,Alabama,GA
105086,"Aliceville, Alabama",1167792390,281424.0,Aliceville,Alabama,GA
100811,"Allgood, Alabama",1165909718,281031.0,Allgood,Alabama,C
100812,"Altoona, Alabama",1165909823,281032.0,Altoona,Alabama,C
104595,"Andalusia, Alabama",1179141586,281121.0,Andalusia,Alabama,C
46726043,"Anderson, Lauderdale County, Alabama",662691565,281326.0,Anderson,Lauderdale County,Stub
103733,"Anniston, Alabama",1176049382,281054.0,Anniston,Alabama,C
104617,"Arab, Alabama",1171375371,281145.0,Arab,Alabama,C
104850,"Ardmore, Alabama",1176903479,281348.0,Ardmore,Alabama,GA
104764,"Argo, Alabama",1177623964,281273.0,Argo,Alabama,C
104630,"Ariton, Alabama",1166014478,281159.0,Ariton,Alabama,C
105189,"Arley, Alabama",1166014498,281518.0,Arley,Alabama,C
104734,"Ashford, Alabama",1166014593,281248.0,Ashford,Alabama,C
104574,"Ashland, Alabama",1174331705,281100.0,Ashland,Alabama,C
105125,"Ashville, Alabama",1148844011,281457.0,Ashville,Alabama,C
104851,"Athens, Alabama",1175308807,281349.0,Athens,Alabama,C
104682,"Atmore, Alabama",1167926420,281197.0,Atmore,Alabama,C
104688,"Attalla, Alabama",1165507856,281204.0,Attalla,Alabama,C
104844,"Auburn, Alabama",1177335918,281342.0,Auburn,Alabama,C
99880,"Autaugaville, Alabama",1166014815,281001.0,Autaugaville,Alabama,C
104735,"Avon, Alabama",1166014861,281249.0,Avon,Alabama,Start
104596,"Babbie, Alabama",1168820544,281122.0,Babbie,Alabama,Start
104618,"Baileyton, Alabama",1166014939,281147.0,Baileyton,Alabama,C
6022587,"Bakerhill, Alabama",1166014954,10745830.0,Bakerhill,Alabama,Start
105096,"Banks, Alabama",1166014997,281433.0,Banks,Alabama,C
99886,"Bay Minette, Alabama",1177963600,281006.0,Bay Minette,Alabama,C
104904,"Bayou La Batre, Alabama",1177999052,281395.0,Bayou La Batre,Alabama,C
104893,"Bear Creek, Alabama",1166015184,281384.0,Bear Creek,Alabama,GA
104923,"Beatrice, Alabama",1166015214,281408.0,Beatrice,Alabama,C
104820,"Beaverton, Alabama",1166015251,281320.0,Beaverton,Alabama,Start
