index,title,lastrevid,score_pred,state
0,"Abbeville, Alabama",1171163550,C,Alabama
1,"Adamsville, Alabama",1177621427,C,Alabama
2,"Addison, Alabama",1168359898,C,Alabama
3,"Akron, Alabama",1165909508,GA,Alabama
4,"Alabaster, Alabama",1179139816,C,Alabama
5,"Albertville, Alabama",1179198677,C,Alabama
6,"Alexander City, Alabama",1179140073,GA,Alabama
7,"Aliceville, Alabama",1167792390,GA,Alabama
8,"Allgood, Alabama",1165909718,C,Alabama
9,"Altoona, Alabama",1165909823,C,Alabama
10,"Andalusia, Alabama",1179141586,C,Alabama
11,"Anderson, Lauderdale County, Alabama",662691565,Stub,Alabama
12,"Anniston, Alabama",1176049382,C,Alabama
13,"Arab, Alabama",1171375371,C,Alabama
14,"Ardmore, Alabama",1176903479,GA,Alabama
15,"Argo, Alabama",1177623964,C,Alabama
16,"Ariton, Alabama",1166014478,C,Alabama
17,"Arley, Alabama",1166014498,C,Alabama
18,"Ashford, Alabama",1166014593,C,Alabama
19,"Ashland, Alabama",1174331705,C,Alabama
20,"Ashville, Alabama",1148844011,C,Alabama
21,"Athens, Alabama",1175308807,C,Alabama
22,"Atmore, Alabama",1167926420,C,Alabama
23,"Attalla, Alabama",1165507856,C,Alabama
24,"Auburn, Alabama",1177335918,C,Alabama
25,"Autaugaville, Alabama",1166014815,C,Alabama
26,"Avon, Alabama",1166014861,Start,Alabama
27,"Babbie, Alabama",1168820544,Start,Alabama
28,"Baileyton, Alabama",1166014939,C,Alabama
29,"Bakerhill, Alabama",1166014954,Start,Alabama
30,"Banks, Alabama",1166014997,C,Alabama
31,"Bay Minette, Alabama",1177963600,C,Alabama
32,"Bayou La Batre, Alabama",1177999052,C,Alabama
33,"Bear Creek, Alabama",1166015184,GA,Alabama
34,"Beatrice, Alabama",1166015214,C,Alabama
35,"Beaverton, Alabama",1166015251,Start,Alabama
36,"Belk, Alabama",1166015313,C,Alabama
37,"Benton, Alabama",1166015434,C,Alabama
38,"Berlin, Alabama",1166015476,Start,Alabama
39,"Berry, Alabama",1166015515,C,Alabama
40,"Bessemer, Alabama",1178999596,C,Alabama
41,"Billingsley, Alabama",1166015695,Start,Alabama
42,"Birmingham, Alabama",1179414429,B,Alabama
43,"Black, Alabama",1166015772,Start,Alabama
44,"Blountsville, Alabama",1105978061,GA,Alabama
45,"Blue Springs, Alabama",1166015902,Start,Alabama
46,"Boaz, Alabama",1177138566,GA,Alabama
47,"Boligee, Alabama",1166015957,C,Alabama
48,"Bon Air, Alabama",1166015981,C,Alabama
49,"Brantley, Alabama",1165814013,C,Alabama
50,"Brent, Alabama",1172245542,GA,Alabama
