article_title,revision_id,article_quality,state,population,regional_division
"Abbeville, Alabama",1171163550,C,Alabama,5074296,South
"Adamsville, Alabama",1177621427,C,Alabama,5074296,South
"Addison, Alabama",1168359898,C,Alabama,5074296,South
"Akron, Alabama",1165909508,GA,Alabama,5074296,South
"Alabaster, Alabama",1179139816,C,Alabama,5074296,South
"Albertville, Alabama",1179198677,C,Alabama,5074296,South
"Alexander City, Alabama",1179140073,GA,Alabama,5074296,South
"Aliceville, Alabama",1167792390,GA,Alabama,5074296,South
"Allgood, Alabama",1165909718,C,Alabama,5074296,South
"Altoona, Alabama",1165909823,C,Alabama,5074296,South
"Andalusia, Alabama",1179141586,C,Alabama,5074296,South
"Anderson, Lauderdale County, Alabama",662691565,Stub,Alabama,5074296,South
"Anniston, Alabama",1176049382,C,Alabama,5074296,South
"Arab, Alabama",1171375371,C,Alabama,5074296,South
"Ardmore, Alabama",1176903479,GA,Alabama,5074296,South
"Argo, Alabama",1177623964,C,Alabama,5074296,South
"Ariton, Alabama",1166014478,C,Alabama,5074296,South
"Arley, Alabama",1166014498,C,Alabama,5074296,South
"Ashford, Alabama",1166014593,C,Alabama,5074296,South
"Ashland, Alabama",1174331705,C,Alabama,5074296,South
"Ashville, Alabama",1148844011,C,Alabama,5074296,South
"Athens, Alabama",1175308807,C,Alabama,5074296,South
"Atmore, Alabama",1167926420,C,Alabama,5074296,South
"Attalla, Alabama",1165507856,C,Alabama,5074296,South
"Auburn, Alabama",1177335918,C,Alabama,5074296,South
"Autaugaville, Alabama",1166014815,C,Alabama,5074296,South
"Avon, Alabama",1166014861,Start,Alabama,5074296,South
"Babbie, Alabama",1168820544,Start,Alabama,5074296,South
"Baileyton, Alabama",1166014939,C,Alabama,5074296,South
"Bakerhill, Alabama",1166014954,Start,Alabama,5074296,South
"Banks, Alabama",1166014997,C,Alabama,5074296,South
"Bay Minette, Alabama",1177963600,C,Alabama,5074296,South
"Bayou La Batre, Alabama",1177999052,C,Alabama,5074296,South
"Bear Creek, Alabama",1166015184,GA,Alabama,5074296,South
"Beatrice, Alabama",1166015214,C,Alabama,5074296,South
"Beaverton, Alabama",1166015251,Start,Alabama,5074296,South
"Belk, Alabama",1166015313,C,Alabama,5074296,South
"Benton, Alabama",1166015434,C,Alabama,5074296,South
"Berlin, Alabama",1166015476,Start,Alabama,5074296,South
"Berry, Alabama",1166015515,C,Alabama,5074296,South
"Bessemer, Alabama",1178999596,C,Alabama,5074296,South
"Billingsley, Alabama",1166015695,Start,Alabama,5074296,South
"Birmingham, Alabama",1179414429,B,Alabama,5074296,South
"Black, Alabama",1166015772,Start,Alabama,5074296,South
"Blountsville, Alabama",1105978061,GA,Alabama,5074296,South
"Blue Springs, Alabama",1166015902,Start,Alabama,5074296,South
"Boaz, Alabama",1177138566,GA,Alabama,5074296,South
"Boligee, Alabama",1166015957,C,Alabama,5074296,South
"Bon Air, Alabama",1166015981,C,Alabama,5074296,South
"Brantley, Alabama",1165814013,C,Alabama,5074296,South
"Brent, Alabama",1172245542,GA,Alabama,5074296,South
"Brewton, Alabama",1162427481,GA,Alabama,5074296,South
"Bridgeport, Alabama",1165537046,GA,Alabama,5074296,South
"Brighton, Alabama",1177621572,C,Alabama,5074296,South
"Brilliant, Alabama",1166016323,GA,Alabama,5074296,South
"Brookside, Alabama",1170769013,C,Alabama,5074296,South
"Brookwood, Alabama",1178216914,C,Alabama,5074296,South
"Brundidge, Alabama",1165537457,C,Alabama,5074296,South
"Butler, Alabama",1144752979,C,Alabama,5074296,South
"Calera, Alabama",1165537934,C,Alabama,5074296,South
"Camden, Alabama",1176316224,GA,Alabama,5074296,South
"Camp Hill, Alabama",1166017104,C,Alabama,5074296,South
"Carbon Hill, Alabama",1175376595,C,Alabama,5074296,South
"Cardiff, Alabama",1166017260,Start,Alabama,5074296,South
"Carolina, Alabama",1166017310,Start,Alabama,5074296,South
"Carrollton, Alabama",1096812581,C,Alabama,5074296,South
"Castleberry, Alabama",1166017442,Start,Alabama,5074296,South
"Cedar Bluff, Alabama",1177836881,C,Alabama,5074296,South
"Center Point, Alabama",1174837569,C,Alabama,5074296,South
"Centre, Alabama",1164314017,C,Alabama,5074296,South
"Centreville, Alabama",1172134285,C,Alabama,5074296,South
"Chatom, Alabama",1159488446,C,Alabama,5074296,South
"Chelsea, Alabama",1165539092,C,Alabama,5074296,South
"Cherokee, Alabama",1166017755,C,Alabama,5074296,South
"Chickasaw, Alabama",1165539195,C,Alabama,5074296,South
"Childersburg, Alabama",1165539227,GA,Alabama,5074296,South
"Citronelle, Alabama",1165539457,C,Alabama,5074296,South
"Clanton, Alabama",1158612343,GA,Alabama,5074296,South
"Clay, Alabama",1177621993,C,Alabama,5074296,South
"Clayhatchee, Alabama",1166018079,Start,Alabama,5074296,South
"Clayton, Alabama",1155236230,C,Alabama,5074296,South
"Cleveland, Alabama",1168466910,C,Alabama,5074296,South
"Clio, Alabama",1165644511,Start,Alabama,5074296,South
"Coaling, Alabama",1166018304,C,Alabama,5074296,South
"Coffee Springs, Alabama",1166018326,Start,Alabama,5074296,South
"Coffeeville, Alabama",1166029689,C,Alabama,5074296,South
"Coker, Alabama",1166018360,Start,Alabama,5074296,South
"Collinsville, Alabama",1177947751,C,Alabama,5074296,South
"Colony, Alabama",1166018463,GA,Alabama,5074296,South
"Columbia, Alabama",1166018475,C,Alabama,5074296,South
"Columbiana, Alabama",1151357569,C,Alabama,5074296,South
"Coosada, Alabama",1172561590,C,Alabama,5074296,South
"Cordova, Alabama",1165645181,GA,Alabama,5074296,South
"Cottonwood, Alabama",1096812941,C,Alabama,5074296,South
"County Line, Alabama",1166018950,Start,Alabama,5074296,South
"Courtland, Alabama",1157580326,GA,Alabama,5074296,South
"Cowarts, Alabama",1166019003,C,Alabama,5074296,South
"Creola, Alabama",1139764613,GA,Alabama,5074296,South
"Crossville, Alabama",1166066155,C,Alabama,5074296,South
"Cuba, Alabama",1175879685,C,Alabama,5074296,South
"Cullman, Alabama",1177009324,B,Alabama,5074296,South
"Cusseta, Alabama",1172824345,Start,Alabama,5074296,South
"Dadeville, Alabama",1158607851,C,Alabama,5074296,South
"Daleville, Alabama",1154496305,GA,Alabama,5074296,South
"Daphne, Alabama",1165646156,FA,Alabama,5074296,South
"Dauphin Island, Alabama",1174226588,B,Alabama,5074296,South
"Daviston, Alabama",1166066473,C,Alabama,5074296,South
"Dayton, Alabama",1166066487,C,Alabama,5074296,South
"Deatsville, Alabama",1166066515,C,Alabama,5074296,South
"Decatur, Alabama",1178063438,C,Alabama,5074296,South
"Demopolis, Alabama",1161394946,B,Alabama,5074296,South
"Detroit, Alabama",1166066756,Start,Alabama,5074296,South
"Dodge City, Alabama",1166066982,Start,Alabama,5074296,South
"Dora, Alabama",1165647022,C,Alabama,5074296,South
"Dothan, Alabama",1179231968,B,Alabama,5074296,South
"Double Springs, Alabama",1159024876,C,Alabama,5074296,South
"Douglas, Alabama",1166067023,GA,Alabama,5074296,South
"Dozier, Alabama",1096813187,Start,Alabama,5074296,South
"Dutton, Alabama",1166067175,C,Alabama,5074296,South
"East Brewton, Alabama",1165647609,C,Alabama,5074296,South
"Eclectic, Alabama",1145048302,C,Alabama,5074296,South
"Edwardsville, Alabama",1166067508,C,Alabama,5074296,South
"Elba, Alabama",1163400900,C,Alabama,5074296,South
"Elberta, Alabama",1175895043,C,Alabama,5074296,South
"Eldridge, Alabama",1178177223,Start,Alabama,5074296,South
"Elkmont, Alabama",1176555126,C,Alabama,5074296,South
"Elmore, Alabama",1166067658,C,Alabama,5074296,South
"Emelle, Alabama",1158753175,C,Alabama,5074296,South
"Enterprise, Alabama",1160273773,C,Alabama,5074296,South
"Epes, Alabama",1166067751,C,Alabama,5074296,South
"Ethelsville, Alabama",1166067848,Start,Alabama,5074296,South
"Eufaula, Alabama",1160493671,GA,Alabama,5074296,South
"Eutaw, Alabama",1158611853,C,Alabama,5074296,South
"Eva, Alabama",1166067877,GA,Alabama,5074296,South
"Evergreen, Conecuh County, Alabama",1158611789,C,Alabama,5074296,South
"Excel, Alabama",1166067942,C,Alabama,5074296,South
"Fairfield, Alabama",1177239572,C,Alabama,5074296,South
"Fairhope, Alabama",1173963070,C,Alabama,5074296,South
"Fairview, Alabama",1166068021,C,Alabama,5074296,South
"Falkville, Alabama",1166068054,GA,Alabama,5074296,South
"Faunsdale, Alabama",1167428050,GA,Alabama,5074296,South
"Fayette, Alabama",1142947111,C,Alabama,5074296,South
"Five Points, Alabama",1166068289,C,Alabama,5074296,South
"Flomaton, Alabama",1166244039,C,Alabama,5074296,South
"Florala, Alabama",1166068321,C,Alabama,5074296,South
"Florence, Alabama",1178304592,C,Alabama,5074296,South
"Foley, Alabama",1166414056,C,Alabama,5074296,South
"Forkland, Alabama",1166068466,C,Alabama,5074296,South
"Fort Deposit, Alabama",1177020476,C,Alabama,5074296,South
"Fort Payne, Alabama",1172551841,GA,Alabama,5074296,South
"Franklin, Alabama",1166068620,GA,Alabama,5074296,South
"Frisco City, Alabama",1166068863,C,Alabama,5074296,South
"Fruithurst, Alabama",1166068877,Start,Alabama,5074296,South
"Fulton, Alabama",1166068885,Start,Alabama,5074296,South
"Fultondale, Alabama",1165840932,C,Alabama,5074296,South
"Fyffe, Alabama",1160192215,C,Alabama,5074296,South
"Gadsden, Alabama",1177146243,C,Alabama,5074296,South
"Gainesville, Alabama",1166068936,C,Alabama,5074296,South
"Gantt, Alabama",1166068957,Start,Alabama,5074296,South
"Garden City, Alabama",1166068968,C,Alabama,5074296,South
"Gardendale, Alabama",1175530987,C,Alabama,5074296,South
"Gaylesville, Alabama",1166069113,C,Alabama,5074296,South
"Geiger, Alabama",1166069121,Start,Alabama,5074296,South
"Geneva, Alabama",1165747810,C,Alabama,5074296,South
"Georgiana, Alabama",1178540000,Start,Alabama,5074296,South
"Geraldine, Alabama",1166069211,C,Alabama,5074296,South
"Gilbertown, Alabama",1166069407,C,Alabama,5074296,South
"Glen Allen, Alabama",1166069457,C,Alabama,5074296,South
"Glencoe, Alabama",1165748058,C,Alabama,5074296,South
"Glenwood, Alabama",1096814086,Start,Alabama,5074296,South
"Goldville, Alabama",1177535939,Start,Alabama,5074296,South
"Good Hope, Alabama",1165748200,C,Alabama,5074296,South
"Goodwater, Alabama",1166069571,C,Alabama,5074296,South
"Gordo, Alabama",1176908359,C,Alabama,5074296,South
"Gordon, Alabama",1166069580,C,Alabama,5074296,South
"Gordonville, Alabama",1166069594,C,Alabama,5074296,South
"Goshen, Alabama",1166069601,C,Alabama,5074296,South
"Grant, Alabama",1166069728,GA,Alabama,5074296,South
"Graysville, Alabama",1177622200,C,Alabama,5074296,South
"Greensboro, Alabama",1172134373,C,Alabama,5074296,South
"Greenville, Alabama",1171417115,C,Alabama,5074296,South
"Grimes, Alabama",1166180119,Start,Alabama,5074296,South
"Grove Hill, Alabama",1144754911,C,Alabama,5074296,South
"Guin, Alabama",1173001379,C,Alabama,5074296,South
"Gulf Shores, Alabama",1174473447,C,Alabama,5074296,South
"Guntersville, Alabama",1169878221,C,Alabama,5074296,South
"Gurley, Alabama",1173078483,C,Alabama,5074296,South
"Gu-Win, Alabama",1175521277,C,Alabama,5074296,South
"Hackleburg, Alabama",1167581471,GA,Alabama,5074296,South
"Haleburg, Alabama",1166180281,C,Alabama,5074296,South
"Haleyville, Alabama",1168590141,GA,Alabama,5074296,South
"Hamilton, Alabama",1170634832,C,Alabama,5074296,South
"Hammondville, Alabama",1166180369,C,Alabama,5074296,South
