article_title,revision_id,article_quality,state,population,regional_division
"Abbeville, Alabama",1171163550,C,Alabama,5074296,East South Central
"Adamsville, Alabama",1177621427,C,Alabama,5074296,East South Central
"Addison, Alabama",1168359898,C,Alabama,5074296,East South Central
"Akron, Alabama",1165909508,GA,Alabama,5074296,East South Central
"Alabaster, Alabama",1179139816,C,Alabama,5074296,East South Central
"Albertville, Alabama",1179198677,C,Alabama,5074296,East South Central
"Alexander City, Alabama",1179140073,GA,Alabama,5074296,East South Central
"Aliceville, Alabama",1167792390,GA,Alabama,5074296,East South Central
"Allgood, Alabama",1165909718,C,Alabama,5074296,East South Central
"Altoona, Alabama",1165909823,C,Alabama,5074296,East South Central
"Andalusia, Alabama",1179141586,C,Alabama,5074296,East South Central
"Anderson, Lauderdale County, Alabama",662691565,Stub,Alabama,5074296,East South Central
"Anniston, Alabama",1176049382,C,Alabama,5074296,East South Central
"Arab, Alabama",1171375371,C,Alabama,5074296,East South Central
"Ardmore, Alabama",1176903479,GA,Alabama,5074296,East South Central
"Argo, Alabama",1177623964,C,Alabama,5074296,East South Central
"Ariton, Alabama",1166014478,C,Alabama,5074296,East South Central
"Arley, Alabama",1166014498,C,Alabama,5074296,East South Central
"Ashford, Alabama",1166014593,C,Alabama,5074296,East South Central
"Ashland, Alabama",1174331705,C,Alabama,5074296,East South Central
"Ashville, Alabama",1148844011,C,Alabama,5074296,East South Central
"Athens, Alabama",1175308807,C,Alabama,5074296,East South Central
"Atmore, Alabama",1167926420,C,Alabama,5074296,East South Central
"Attalla, Alabama",1165507856,C,Alabama,5074296,East South Central
"Auburn, Alabama",1177335918,C,Alabama,5074296,East South Central
"Autaugaville, Alabama",1166014815,C,Alabama,5074296,East South Central
"Avon, Alabama",1166014861,Start,Alabama,5074296,East South Central
"Babbie, Alabama",1168820544,Start,Alabama,5074296,East South Central
"Baileyton, Alabama",1166014939,C,Alabama,5074296,East South Central
"Bakerhill, Alabama",1166014954,Start,Alabama,5074296,East South Central
"Banks, Alabama",1166014997,C,Alabama,5074296,East South Central
"Bay Minette, Alabama",1177963600,C,Alabama,5074296,East South Central
"Bayou La Batre, Alabama",1177999052,C,Alabama,5074296,East South Central
"Bear Creek, Alabama",1166015184,GA,Alabama,5074296,East South Central
"Beatrice, Alabama",1166015214,C,Alabama,5074296,East South Central
"Beaverton, Alabama",1166015251,Start,Alabama,5074296,East South Central
"Belk, Alabama",1166015313,C,Alabama,5074296,East South Central
"Benton, Alabama",1166015434,C,Alabama,5074296,East South Central
"Berlin, Alabama",1166015476,Start,Alabama,5074296,East South Central
"Berry, Alabama",1166015515,C,Alabama,5074296,East South Central
"Bessemer, Alabama",1178999596,C,Alabama,5074296,East South Central
"Billingsley, Alabama",1166015695,Start,Alabama,5074296,East South Central
"Birmingham, Alabama",1179414429,B,Alabama,5074296,East South Central
"Black, Alabama",1166015772,Start,Alabama,5074296,East South Central
"Blountsville, Alabama",1105978061,GA,Alabama,5074296,East South Central
"Blue Springs, Alabama",1166015902,Start,Alabama,5074296,East South Central
"Boaz, Alabama",1177138566,GA,Alabama,5074296,East South Central
"Boligee, Alabama",1166015957,C,Alabama,5074296,East South Central
"Bon Air, Alabama",1166015981,C,Alabama,5074296,East South Central
"Brantley, Alabama",1165814013,C,Alabama,5074296,East South Central
"Brent, Alabama",1172245542,GA,Alabama,5074296,East South Central
"Brewton, Alabama",1162427481,GA,Alabama,5074296,East South Central
"Bridgeport, Alabama",1165537046,GA,Alabama,5074296,East South Central
"Brighton, Alabama",1177621572,C,Alabama,5074296,East South Central
"Brilliant, Alabama",1166016323,GA,Alabama,5074296,East South Central
"Brookside, Alabama",1170769013,C,Alabama,5074296,East South Central
"Brookwood, Alabama",1178216914,C,Alabama,5074296,East South Central
"Brundidge, Alabama",1165537457,C,Alabama,5074296,East South Central
"Butler, Alabama",1144752979,C,Alabama,5074296,East South Central
"Calera, Alabama",1165537934,C,Alabama,5074296,East South Central
"Camden, Alabama",1176316224,GA,Alabama,5074296,East South Central
"Camp Hill, Alabama",1166017104,C,Alabama,5074296,East South Central
"Carbon Hill, Alabama",1175376595,C,Alabama,5074296,East South Central
"Cardiff, Alabama",1166017260,Start,Alabama,5074296,East South Central
"Carolina, Alabama",1166017310,Start,Alabama,5074296,East South Central
"Carrollton, Alabama",1096812581,C,Alabama,5074296,East South Central
"Castleberry, Alabama",1166017442,Start,Alabama,5074296,East South Central
"Cedar Bluff, Alabama",1177836881,C,Alabama,5074296,East South Central
"Center Point, Alabama",1174837569,C,Alabama,5074296,East South Central
